abbreviation	officialName	equation	subSystem	proteinClass	geneAssociation
12DGR120tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)	12dgr120[p] --> 12dgr120[c]	Transport, Inner Membrane		
12DGR140tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)	12dgr140[p] --> 12dgr140[c]	Transport, Inner Membrane		
12DGR141tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)	12dgr141[p] --> 12dgr141[c]	Transport, Inner Membrane		
12DGR160tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)	12dgr160[p] --> 12dgr160[c]	Transport, Inner Membrane		
12DGR161tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)	12dgr161[p] --> 12dgr161[c]	Transport, Inner Membrane		
12DGR180tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)	12dgr180[p] --> 12dgr180[c]	Transport, Inner Membrane		
12DGR181tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)	12dgr181[p] --> 12dgr181[c]	Transport, Inner Membrane		
12PPDRtex	(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	12ppd-R[e] <==> 12ppd-R[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
12PPDRtpp	(R)-Propane-1,2-diol facilitated transport (periplasm)	12ppd-R[p] <==> 12ppd-R[c]	Transport, Inner Membrane		
12PPDStex	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	12ppd-S[e] <==> 12ppd-S[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
12PPDStpp	(S)-Propane-1,2-diol facilitated transport (periplasm)	12ppd-S[p] <==> 12ppd-S[c]	Transport, Inner Membrane		
14GLUCANabcpp	1,4-alpha-D-glucan transport via ABC system (periplasm)	14glucan[p] + atp[c] + h2o[c] --> 14glucan[c] + adp[c] + h[c] + pi[c]	Transport, Inner Membrane		( b4034  and  b4033  and  b4032  and  b4035 )
14GLUCANtexi	1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible	14glucan[e] --> 14glucan[p]	Transport, Outer Membrane		b4036
23CAMPtex	23cAMP transport via diffusion (extracellular to periplasm)	23camp[e] <==> 23camp[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
23CCMPtex	23cCMP transport via diffusion (extracellular to periplasm)	23ccmp[e] <==> 23ccmp[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
23CGMPtex	23cGMP transport via diffusion (extracellular to periplasm)	23cgmp[e] <==> 23cgmp[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
23CUMPtex	23cUMP transport via diffusion (extracellular to periplasm)	23cump[e] <==> 23cump[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
23DAPPAt2pp	2,3-diaminopropionate transport in via proton symport	23dappa[p] + h[p] --> 23dappa[c] + h[c]	Transport, Inner Membrane		
23DAPPAtex	2,3-diaminopropionate transport via diffusion	23dappa[e] <==> 23dappa[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
23PDE2pp	2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)	[p] : 23cump + h2o --> 3ump + h	Nucleotide Salvage Pathway	3.1.4.16	b4213
23PDE4pp	2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)	[p] : 23ccmp + h2o --> 3cmp + h	Nucleotide Salvage Pathway	3.1.4.16	b4213
23PDE7pp	2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)	[p] : 23camp + h2o --> 3amp + h	Nucleotide Salvage Pathway	3.1.4.16	b4213
23PDE9pp	2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)	[p] : 23cgmp + h2o --> 3gmp + h	Nucleotide Salvage Pathway	3.1.4.16	b4213
26DAHtex	meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)	26dap-M[e] <==> 26dap-M[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
2AGPA120tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	2ddecg3p[p] --> 2ddecg3p[c]	Transport, Inner Membrane		b2835
2AGPA140tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)	2tdecg3p[p] --> 2tdecg3p[c]	Transport, Inner Membrane		b2835
2AGPA141tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)	2tdec7eg3p[p] --> 2tdec7eg3p[c]	Transport, Inner Membrane		b2835
2AGPA160tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)	2hdecg3p[p] --> 2hdecg3p[c]	Transport, Inner Membrane		b2835
2AGPA161tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)	2hdec9eg3p[p] --> 2hdec9eg3p[c]	Transport, Inner Membrane		b2835
2AGPA180tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)	2odecg3p[p] --> 2odecg3p[c]	Transport, Inner Membrane		b2835
2AGPA181tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)	2odec11eg3p[p] --> 2odec11eg3p[c]	Transport, Inner Membrane		b2835
2AGPE120tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)	2agpe120[p] --> 2agpe120[c]	Transport, Inner Membrane		b2835
2AGPE140tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)	2agpe140[p] --> 2agpe140[c]	Transport, Inner Membrane		b2835
2AGPE141tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)	2agpe141[p] --> 2agpe141[c]	Transport, Inner Membrane		b2835
2AGPE160tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)	2agpe160[p] --> 2agpe160[c]	Transport, Inner Membrane		b2835
2AGPE161tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)	2agpe161[p] --> 2agpe161[c]	Transport, Inner Membrane		b2835
2AGPE180tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)	2agpe180[p] --> 2agpe180[c]	Transport, Inner Membrane		b2835
2AGPE181tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm)	2agpe181[p] --> 2agpe181[c]	Transport, Inner Membrane		b2835
