model	abbreviation	officialName	equation	GENE ASSOCIATION	lowbnd	uppbnd	obj_coef	COMPARTMENT	SUBSYSTEM
iEre400	r303	D-glucose transport via PEP:Pyr PTS	D-Glucose[2] => D-Glucose[5]	NA	0	1000	0	NA	Transport Reaction
iEre400	r304	CO2 Transport	CO2[5] <=> CO2[2]	NA	-1000	1000	0	NA	Transport Reaction
iEre400	r305	N-Acetyl-D-glucosamine transport via PEP:Pyr PTS	N-Acetyl-D-glucosamine[2] + Phosphoenolpyruvate[5] => N-Acetyl-D-glucosamine 6-phosphate[5] + Pyruvate[5]	EUBREC_2924;EUBREC_0134	0	1000	0	NA	Transport Reaction
iEre400	r306	L-alanine reversible transport via proton symport	L-Alanine[5] <=> L-Alanine[2]	EUBREC_1418	-1000	1000	0	NA	Transport Reaction
iEre400	r307	choline transport via proton symport, reversible	Choline[5] <=> Choline[2]	EUBREC_2605	-1000	1000	0	NA	Transport Reaction
iEre400	r308	D-alanine transport via proton symport	D-Alanine[5] <=> D-Alanine[2]	EUBREC_1418	-1000	1000	0	NA	Transport Reaction
iEre400	r309	Na+/Proline-L symporter	L-Proline[5] => L-Proline[2]	EUBREC_2399	0	1000	0	NA	Transport Reaction
iEre400	r310	L-glutamate transport via proton symport, reversible	L-Glutamate[5] <=> L-Glutamate[2]	EUBREC_1852	-1000	1000	0	NA	Transport Reaction
iEre400	r311	sn-Glycerol 3-phosphate transport via ABC system	ATP[5] + Glycerol 3-phosphate[2] + H2O[5] => ADP[5] + Glycerol 3-phosphate[5] + Phosphate[5]	EUBREC_1185:EUBREC_0543:EUBREC_2282:EUBREC_1183	0	1000	0	NA	Transport Reaction
iEre400	r312	Lactose transport via PEP:Pyr PTS	Lactose[2] + Phosphoenolpyruvate[5] => Lactose-6-phosphate[5] + Pyruvate[5]	EUBREC_3689:EUBREC_3688	0	1000	0	NA	Transport Reaction
iEre400	r313	maltose transport via ABC system	ATP[5] + H2O[5] + Maltose[2] => ADP[5] + Maltose[5] + Phosphate[5]	EUBREC_1185:EUBREC_0543:EUBREC_2282:EUBREC_1183:EUBREC_0542:EUBREC_1835:EUBREC_0544	0	1000	0	NA	Transport Reaction
iEre400	r314	spermidine transport via ABC system	ATP[5] + H2O[5] + Spermidine[2] => ADP[5] + Phosphate[5] + Spermidine[5]	EUBREC_2166:EUBREC_2165:EUBREC_2164	0	1000	0	NA	Transport Reaction
iEre400	r315	uracil transport in via proton symport	Uracil[2] => Uracil[5]	EUBREC_1549	0	1000	0	NA	Transport Reaction
iEre400	r316	xanthine transport in via proton symport	Xanthine[2] => Xanthine[5]	EUBREC_3171	0	1000	0	NA	Transport Reaction
iEre400	r317	Butyrate Transport	Butyrate[5] => Butyrate[2]	NA	0	1000	0	NA	Transport Reaction
iEre400	r318	Acetate Transport	Acetate[5] <=> Acetate[2]	NA	-1000	1000	0	NA	Transport Reaction
iEre400	r319	Lactate Transport	L-Lactate[5] <=> L-Lactate[2]	NA	-1000	1000	0	NA	Transport Reaction
iEre400	r320	ammonium Transport	Ammonium[2] <=> Ammonium[5]	EUBREC_0702	-1000	1000	0	NA	Transport Reaction
iEre400	r321	Phosphate Transport	Phosphate[5] <=> Phosphate[2]	EUBREC_2948:EUBREC_2956:EUBREC_2955:EUBREC_2957	-1000	1000	0	NA	Transport Reaction
iEre400	r322	H2O Transport	H2O[2] <=> H2O[5]	NA	-1000	1000	0	NA	Transport Reaction
