model	abbreviation	officialName	equation	GENE ASSOCIATION	lowbnd	uppbnd	obj_coef	COMPARTMENT	SUBSYSTEM
iFap484	GLCtexi	D-glucoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible	=> D-Glucose_C6H12O6[e]	NA	1	1	0	NA	Glucose Exchange
iFap484	Biomass	NA	40 ATP_C10H16N5O13P3[c] + 40 H2O_H2O[c] + 0.011843 Ammonium_H3N[c] + 0.1537 L-Methionine_C5H11NO2S[c] + 0.4232 L-Valine_C5H11NO2[c] + 0.2905 L-Isoleucine_C6H13NO2[c] + 0.404 L-Leucine_C6H13NO2[c] + 0.2537 L-Threonine_C4H9NO3[c] + 0.2211 L-Proline_C5H9NO2[c] + 0.5137 L-Alanine_C3H7NO2[c] + 0.2158 L-Serine_C3H7NO3[c] + 0.2411 L-Asparagine_C4H8N2O3[c] + 0.09158 L-Cysteine_C3H7NO2S[c] + 0.6126 Glycine_C2H5NO2[c] + 0.001831 NAD+_C21H27N7O14P2[c] + 0.000447 NADP+_C21H28N7O17P3[c] + 0.2411 L-Aspartate_C4H7NO4[c] + 0.2632 L-Glutamate_C5H9NO4[c] + 0.2632 L-Glutamine_C5H10N2O3[c] + 0.2958 L-Arginine_C6H14N4O2[c] + 0.3432 L-Lysine_C6H14N2O2[c] + 0.1759 L-Phenylalanine_C9H11NO2[c] + 0.1379 L-Tyrosine_C9H11NO3[c] + 0.000223 10-Formyltetrahydrofolate_C20H23N7O7[c] + 0.1441 UTP_C9H15N2O15P3[c] + 0.1335 CTP_C9H16N3O14P3[c] + 0.02702 dCTP_C9H16N3O13P3[c] + 0.000223 5,10-Methylenetetrahydrofolate_C20H23N7O6[c] + 0.2151 GTP_C10H16N5O14P3[c] + 0.02702 dGTP_C10H16N5O13P3[c] + 0.02617 dATP_C10H16N5O12P3[c] + 0.124 Crosslinked peptideglycan_C203H318N28O87P2[c] + 0.02617 dTTP_C10H17N2O14P3[c] + 0.09474 L-Histidine_C6H9N3O2[c] + 0.05684 L-Tryptophan_C11H12N2O2[c] + 0.1294 capsular polysaccharide linkage unit, LPL specific_C30H59O32P1[c] => 40 ADP_C10H15N5O10P2[c] + 40 H+_[c] + 40 Phosphate_H3O4P[c] + 0.7739 Diphosphate_H4O7P2[c]	NA	0	1000	1	NA	Biomass
iFap484	ATPM	ATP maintenance requirement	ATP_C10H16N5O13P3[c] + H2O_H2O[c] => ADP_C10H15N5O10P2[c] + H+_[c] + Phosphate_H3O4P[c]	NA	0.4	0.4	0	NA	Biomass1
iFap484	NH4tex	ammonia transport via diffusion (extracellular to periplasm)	<=> Ammonium_H3N[e]	NA	-1000	1000	0	NA	Exchange
iFap484	NH4tpp	ammonia reversible transport (periplasm)	Ammonium_H3N[e] <=> Ammonium_H3N[c]	NA	-1000	1000	0	NA	Transporter
iFap484	Ex_Phosphate	Exchange Phosphate	<=> Phosphate_H3O4P[e]	NA	-1000	1000	0	NA	Exchange
iFap484	PIuabcpp	phosphate transport via ABC system (uptake, periplasm)	ATP_C10H16N5O13P3[c] + H2O_H2O[c] + Phosphate_H3O4P[e] => ADP_C10H15N5O10P2[c] + H+_[c] + 2 Phosphate_H3O4P[c]	NA	0	1000	0	NA	Transporter
iFap484	H2Otpp	H2O transport via diffusion (periplasm)	H2O_H2O[c] <=> H2O_H2O[e]	NA	-1000	1000	0	NA	Transporter
iFap484	H2Otex	H2O transport via diffusion (extracellular to periplasm)	H2O_H2O[e] <=>	NA	-1000	1000	0	NA	Exchange
iFap484	Htex	proton transport via diffusion (extracellular to periplasm)	H+_[e] <=>	NA	-1000	1000	0	NA	Transporter
