abbreviation	lowbnd	uppbnd	obj_coef	equation	officialName	geneAssociation	subsystem
12DGR120tipp	0	1e3	0	12dgr120_p --> 12dgr120_c	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)		Transport, Inner Membrane
12DGR140tipp	0	1e3	0	12dgr140_p --> 12dgr140_c	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)		Transport, Inner Membrane
12DGR141tipp	0	1e3	0	12dgr141_p --> 12dgr141_c	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)		Transport, Inner Membrane
12DGR160tipp	0	1e3	0	12dgr160_p --> 12dgr160_c	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)		Transport, Inner Membrane
12DGR161tipp	0	1e3	0	12dgr161_p --> 12dgr161_c	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)		Transport, Inner Membrane
12DGR180tipp	0	1e3	0	12dgr180_p --> 12dgr180_c	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)		Transport, Inner Membrane
12DGR181tipp	0	1e3	0	12dgr181_p --> 12dgr181_c	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)		Transport, Inner Membrane
12PPDRtex	-1e3	1e3	0	12ppd__R_e <==> 12ppd__R_p	(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
12PPDRtpp	-1e3	1e3	0	12ppd__R_p <==> 12ppd__R_c	(R)-Propane-1,2-diol facilitated transport (periplasm)		Transport, Inner Membrane
12PPDStex	-1e3	1e3	0	12ppd__S_e <==> 12ppd__S_p	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
12PPDStpp	-1e3	1e3	0	12ppd__S_p <==> 12ppd__S_c	(S)-Propane-1,2-diol facilitated transport (periplasm)		Transport, Inner Membrane
14GLUCANabcpp	0	1e3	0	14glucan_p + atp_c + h2o_c --> 14glucan_c + adp_c + h_c + pi_c	1,4-alpha-D-glucan transport via ABC system (periplasm)	b4034 and b4033 and b4032 and b4035	Transport, Inner Membrane
14GLUCANtexi	0	1e3	0	14glucan_e --> 14glucan_p	1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible	b4036	Transport, Outer Membrane
23CAMPtex	-1e3	1e3	0	23camp_e <==> 23camp_p	23cAMP transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
23CCMPtex	-1e3	1e3	0	23ccmp_e <==> 23ccmp_p	23cCMP transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
23CGMPtex	-1e3	1e3	0	23cgmp_e <==> 23cgmp_p	23cGMP transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
23CUMPtex	-1e3	1e3	0	23cump_e <==> 23cump_p	23cUMP transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
23DAPPAt2pp	0	1e3	0	23dappa_p + h_p --> h_c + 23dappa_c	2,3-diaminopropionate transport in via proton symport		Transport, Inner Membrane
23DAPPAtex	-1e3	1e3	0	23dappa_e <==> 23dappa_p	2,3-diaminopropionate transport via diffusion	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
23PDE2pp	0	1e3	0	23cump_p + h2o_p --> h_p + 3ump_p	2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)	b4213	Nucleotide Salvage Pathway
23PDE4pp	0	1e3	0	23ccmp_p + h2o_p --> h_p + 3cmp_p	2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)	b4213	Nucleotide Salvage Pathway
23PDE7pp	0	1e3	0	23camp_p + h2o_p --> h_p + 3amp_p	2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)	b4213	Nucleotide Salvage Pathway
23PDE9pp	0	1e3	0	23cgmp_p + h2o_p --> h_p + 3gmp_p	2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)	b4213	Nucleotide Salvage Pathway
26DAHtex	-1e3	1e3	0	26dap__M_e <==> 26dap__M_p	Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
2AGPA120tipp	0	1e3	0	2ddecg3p_p --> 2ddecg3p_c	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPA140tipp	0	1e3	0	2tdecg3p_p --> 2tdecg3p_c	2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPA141tipp	0	1e3	0	2tdec7eg3p_p --> 2tdec7eg3p_c	2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPA160tipp	0	1e3	0	2hdecg3p_p --> 2hdecg3p_c	2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPA161tipp	0	1e3	0	2hdec9eg3p_p --> 2hdec9eg3p_c	2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPA180tipp	0	1e3	0	2odecg3p_p --> 2odecg3p_c	2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPA181tipp	0	1e3	0	2odec11eg3p_p --> 2odec11eg3p_c	2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPE120tipp	0	1e3	0	2agpe120_p --> 2agpe120_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
2AGPE140tipp	0	1e3	0	2agpe140_p --> 2agpe140_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)	b2835	Transport, Inner Membrane
