model_bigg_id	bigg_id	name	organism
e_coli_core	b0008	talB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0114	aceE	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0115	aceF	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0116	lpd	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0118	acnB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0351	mhpF	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0356	frmA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0451	amtB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0474	adk	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0485	glsA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0720	gltA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0721	sdhC	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0722	sdhD	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0723	sdhA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0724	sdhB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0726	sucA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0727	sucB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0728	sucC	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0729	sucD	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0733	cydA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0734	cydB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0755	gpmA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0767	pgl	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0809	glnQ	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0810	glnP	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0811	glnH	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0875	aqpZ	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0902	pflA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0903	pflB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0904	focA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0978	cbdA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b0979	cbdB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1101	ptsG	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1136	icd	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1241	adhE	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1276	acnA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1297	puuA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1380	ldhA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1478	adhP	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1479	maeA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1524	glsB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1602	pntB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1603	pntA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1611	fumC	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1612	fumA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1621	malX	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1676	pykF	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1702	ppsA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1723	pfkB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1761	gdhA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1773	ydjI	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1779	gapA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1812	pabB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1817	manX	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1818	manY	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1819	manZ	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1849	purT	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1852	zwf	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b1854	pykA	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b2029	gnd	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b2097	fbaB	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b2133	dld	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b2276	nuoN	Escherichia coli str. K-12 substr. MG1655
e_coli_core	b2277	nuoM	Escherichia coli str. K-12 substr. MG1655
