metabolite	model	abbreviation	equation	lowbnd	uppbnd	obj_coef
1,4-alpha-D-glucan_C36H62O31	global	EX 1,4-alpha-D-glucan_C36H62O31	1,4-alpha-D-glucan_C36H62O31[E] <=>	0	10000	0
4-Amino-5-hydroxymethyl-2-methylpyrimidine_C6H9N3O	global	EX 4-Amino-5-hydroxymethyl-2-methylpyrimidine_C6H9N3O	4-Amino-5-hydroxymethyl-2-methylpyrimidine_C6H9N3O[E] <=>	0	10000	0
5-Dehydro-D-gluconate_C6H10O7	global	EX 5-Dehydro-D-gluconate_C6H10O7	5-Dehydro-D-gluconate_C6H10O7[E] <=>	0	10000	0
Acetate	global	EX Acetate	Acetate[E] <=>	-10	10000	0
Adenosine_C10H13N5O4	global	EX Adenosine_C10H13N5O4	Adenosine_C10H13N5O4[E] <=>	0	10000	0
Ammonium	global	EX Ammonium	Ammonium[E] <=>	-10000	10000	0
Amylopectin	global	EX Amylopectin	Amylopectin[E] <=>	0	10000	0
Arabinan	global	EX Arabinan	Arabinan[E] <=>	0	10000	0
Arabinogalactan	global	EX Arabinogalactan	Arabinogalactan[E] <=>	0	10000	0
biomass_bif	global	EX biomass_bif	biomass_bif[E] <=>	0	10000	0.2
biomass_bth	global	EX biomass_bth	biomass_bth[E] <=>	0	10000	0.2
Biomass_msi	global	EX Biomass_msi	Biomass_msi[E] <=>	0	10000	0.2
Biomass_ere	global	EX Biomassere	Biomassere[E] <=>	0	10000	0.2
Biomass_fap	global	EX Biomass_fap	Biomass_fap[E] <=>	0	10000	0.2
ATPM_proxy	global	ATPM_proxy	H+[E] +Phosphate[E] => H2O[E]	0	10000	1
Butyrate	global	EX Butyrate	Butyrate[E] <=>	0	10000	0
Cadmium_Cd	global	EX Cadmium_Cd	Cadmium_Cd[E] <=>	0	10000	0
Calcium_Ca	global	EX Calcium_Ca	Calcium_Ca[E] <=>	-1	10000	0
Cellobiose_C12H22O11	global	EX Cellobiose_C12H22O11	Cellobiose_C12H22O11[E] <=>	0	10000	0
CO2	global	EX CO2	CO2[E] <=>	-10000	10000	0
Co2+_Co	global	EX Co2+_Co	Co2+_Co[E] <=>	0	10000	0
Cu+_Cu	global	EX Cu+_Cu	Cu+_Cu[E] <=>	0	10000	0
Cu2+_Cu	global	EX Cu2+_Cu	Cu2+_Cu[E] <=>	0	10000	0
Cyanate_CNO	global	EX Cyanate_CNO	Cyanate_CNO[E] <=>	0	10000	0
Cys-Gly_C5H10N2O3S	global	EX Cys-Gly_C5H10N2O3S	Cys-Gly_C5H10N2O3S[E] <=>	0	10000	0
D-Arabinose	global	EX D-Arabinose	D-Arabinose[E] <=>	0	10000	0
D-Fructose	global	EX D-Fructose	D-Fructose[E] <=>	0	10000	0
D-Fructuronate	global	EX D-Fructuronate	D-Fructuronate[E] <=>	0	10000	0
D-Galactose	global	EX D-Galactose	D-Galactose[E] <=>	0	10000	0
D-Galacturonate	global	EX D-Galacturonate	D-Galacturonate[E] <=>	0	10000	0
D-Glucarate	global	EX D-Glucarate	D-Glucarate[E] <=>	0	10000	0
D-Gluconate	global	EX D-Gluconate	D-Gluconate[E] <=>	0	10000	0
D-Glucosamine	global	EX D-Glucosamine	D-Glucosamine[E] <=>	0	10000	0
D-Glucose	global	EX D-Glucose	D-Glucose[E] <=>	-10	10000	0
D-Glucuronate	global	EX D-Glucuronate	D-Glucuronate[E] <=>	0	10000	0
D-Glyceraldehyde_C3H6O3	global	EX D-Glyceraldehyde_C3H6O3	D-Glyceraldehyde_C3H6O3[E] <=>	0	10000	0
D-Lactate	global	EX D-Lactate	D-Lactate[E] <=>	0	10000	0
D-Mannose	global	EX D-Mannose	D-Mannose[E] <=>	0	10000	0
D-Ribose	global	EX D-Ribose	D-Ribose[E] <=>	0	10000	0
D-Xylose	global	EX D-Xylose	D-Xylose[E] <=>	0	10000	0
Dextran	global	EX Dextran	Dextran[E] <=>	0	10000	0
Ethanol	global	EX Ethanol	Ethanol[E] <=>	0	10000	0
Fe2+_Fe	global	EX Fe2+_Fe	Fe2+_Fe[E] <=>	0	10000	0
