model	abbreviation	officialName	equation	GENE ASSOCIATION	lowbnd	uppbnd	obj_coef	COMPARTMENT	SUBSYSTEM
iBth801	ALAR	alanine racemase	D-Alanine[1] <=> L-Alanine[1]	BT_4101	-1000	1000	0	NA	Alanine and Aspartate Metabolism
iBth801	ASNN	L-asparaginase	L-Asparagine[1] + H2O[1] => L-Aspartate[1] + Ammonium[1]	NA	0	1000	0	NA	Alanine and Aspartate Metabolism
iBth801	ASNNpp	L-asparaginase	L-Asparagine[3] + H2O[3] => L-Aspartate[3] + Ammonium[3]	BT_2757	0	1000	0	NA	Alanine and Aspartate Metabolism
iBth801	ASNS1	asparagine synthase (glutamine-hydrolysing)	L-Aspartate[1] + ATP[1] + L-Glutamine[1] + H2O[1] => AMP[1] + L-Asparagine[1] + L-Glutamate[1] + Diphosphate[1]	BT_0551	0	1000	0	NA	Alanine and Aspartate Metabolism
iBth801	ASNS2	asparagine synthetase	L-Aspartate[1] + ATP[1] + Ammonium[1] => AMP[1] + L-Asparagine[1] + Diphosphate[1]	BT_2129	0	1000	0	NA	Alanine and Aspartate Metabolism
iBth801	ASPT	L-aspartase	L-Aspartate[1] => Fumarate[1] + Ammonium[1]	BT_2755	0	1000	0	NA	Alanine and Aspartate Metabolism
iBth801	2DGLCNRx	2-dehydro-D-gluconate reductase (NADH)	2-Dehydro-D-gluconate[1] + Nicotinamide adenine dinucleotide - reduced[1] => D-Gluconate[1] + Nicotinamide adenine dinucleotide[1]	BT_1207	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	2DGLCNRy	2-dehydro-D-gluconate reductase (NADPH)	2-Dehydro-D-gluconate[1] + Nicotinamide adenine dinucleotide phosphate - reduced[1] => D-Gluconate[1] + Nicotinamide adenine dinucleotide phosphate[1]	BT_1207	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	2DGULRx	2-dehydro-L-gulonate reductase (NADH)	2-Dehydro-L-gulonate[1] + Nicotinamide adenine dinucleotide - reduced[1] => L-Idonate[1] + Nicotinamide adenine dinucleotide[1]	BT_1207	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	2DGULRy	2-dehydro-L-gulonate reductase (NADPH)	2-Dehydro-L-gulonate[1] + Nicotinamide adenine dinucleotide phosphate - reduced[1] => L-Idonate[1] + Nicotinamide adenine dinucleotide phosphate[1]	BT_1207	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	5DGLCNR	5-dehydro-D-gluconate reductase	D-Gluconate[1] + Nicotinamide adenine dinucleotide phosphate[1] <=> 5-Dehydro-D-gluconate[1] + Nicotinamide adenine dinucleotide phosphate - reduced[1]	BT_3232	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	A5PISO	arabinose-5-phosphate isomerase	D-Arabinose 5-phosphate[1] <=> D-Ribulose 5-phosphate[1]	NA	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	AAMYL	alpha-amylase	1,4-alpha-D-glucan[1] => Maltohexaose[1]	BT_4690	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	AGDC	N-acetylglucosamine-6-phosphate deacetylase	N-Acetyl-D-glucosamine 6-phosphate[1] + H2O[1] => Acetate[1] + D-Glucosamine 6-phosphate[1]	BT_0676	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	ALTRH	altronate hydrolase	D-Altronate[1] => 2-Dehydro-3-deoxy-D-gluconate[1] + H2O[1]	BT_0486	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	AMALT1	Amylomaltase (maltotriose)	Maltose[1] + Maltotriose[1] => D-Glucose[1] + Maltotetraose[1]	BT_2146	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	AMALT2	Amylomaltase (maltotetraose)	Maltose[1] + Maltotetraose[1] => D-Glucose[1] + Maltopentaose[1]	BT_2146	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	AMALT3	Amylomaltase (maltopentaose)	Maltose[1] + Maltopentaose[1] => D-Glucose[1] + Maltohexaose[1]	BT_2146	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	AMALT4	Amylomaltase (maltohexaose)	Maltose[1] + Maltohexaose[1] => D-Glucose[1] + Maltoheptaose[1]	BT_2146	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	ARAI	D-arabinose isomerase	D-Arabinose[1] <=> D-Ribulose[1]	BT_0351	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	DHAPT	Dihydroxyacetone phosphotransferase	Dihydroxyacetone[1] + Phosphoenolpyruvate[1] => Dihydroxyacetone phosphate[1] + Pyruvate[1]	NA	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	DKGLCNR1	2,5-diketo-D-gluconate reductase	2,5-diketo-D-gluconate[1] + Nicotinamide adenine dinucleotide phosphate - reduced[1] => 2-Dehydro-L-gulonate[1] + Nicotinamide adenine dinucleotide phosphate[1]	BT_1383	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	DKGLCNR2x	2,5-diketo-D-gluconate reductase (NADH)	2,5-diketo-D-gluconate[1] + Nicotinamide adenine dinucleotide - reduced[1] => 5-Dehydro-D-gluconate[1] + Nicotinamide adenine dinucleotide[1]	BT_1207	0	1000	0	NA	Alternate Carbon Metabolism
